,BME280_Humidity,BME280_Pressure,BME280_Temp,DS18B20_Temp,Date,Intensity,Spinach_Area,Potato_Area
238,44.39,897.07,27.32,20.88,2019-11-19 13:48:56,901.0,82287,35166
239,43.56,896.93,27.46,21.19,2019-11-19 14:04:09,1294.0,75142,46998
240,44.29,896.78,26.27,20.31,2019-11-19 14:19:24,1249.0,71434,27447
241,44.45,896.63,25.76,20.56,2019-11-19 14:34:37,1060.0,98925,49284
242,45.09,896.49,25.07,18.94,2019-11-19 14:49:52,820.0,53118,13947
243,45.06,896.53,25.14,19.62,2019-11-19 15:05:07,881.0,43789,10229
244,45.26,896.55,24.78,18.69,2019-11-19 15:20:21,686.0,111879,45645
245,46.34,896.55,23.58,17.5,2019-11-19 15:35:35,693.0,3575,3416
246,46.75,896.66,22.93,16.44,2019-11-19 15:50:50,388.0,4712,3477
247,43.79,898.09,26.86,19.44,2019-11-20 13:13:49,1555.0,358958,217344
248,43.42,897.88,27.45,19.25,2019-11-20 13:29:03,1863.0,361025,242690
249,43.48,897.66,27.13,18.56,2019-11-20 13:44:17,1751.0,334509,196345
